url,timestamp,text_length,file_path
https://www.csulb.edu/japanese-garden/,2025-11-26,6932,./data/https%3A%2F%2Fwww.csulb.edu%2Fjapanese-garden%2F.txt
https://www.csulb.edu/academic-affairs,2025-11-26,5538,./data/https%3A%2F%2Fwww.csulb.edu%2Facademic-affairs.txt
https://www.csulb.edu/help,2025-11-26,4209,./data/https%3A%2F%2Fwww.csulb.edu%2Fhelp.txt
https://www.csulb.edu/student-affairs,2025-11-26,4860,./data/https%3A%2F%2Fwww.csulb.edu%2Fstudent-affairs.txt
https://www.cpace.csulb.edu/,2025-11-26,1625,./data/https%3A%2F%2Fwww.cpace.csulb.edu%2F.txt
http://www.ccpe.csulb.edu/international/?utm_source=website&utm_medium=homepage&utm_content=menulink&utm_campaign=JumboMenu,2025-11-26,25576,./data/http%3A%2F%2Fwww.ccpe.csulb.edu%2Finternational%2F%3Futm_source%3Dwebsite%26utm_medium%3Dhomepage%26utm_content%3Dmenulink%26utm_campaign%3DJumboMenu.txt
https://www.csulb.edu/information-technology,2025-11-26,4166,./data/https%3A%2F%2Fwww.csulb.edu%2Finformation-technology.txt
https://www.csulb.edu/news/article/the-first-gen-beach-grad-runner-who-helped-shape-nike-for-50-plus-years,2025-11-26,9537,./data/https%3A%2F%2Fwww.csulb.edu%2Fnews%2Farticle%2Fthe-first-gen-beach-grad-runner-who-helped-shape-nike-for-50-plus-years.txt
https://www.csulb.edu/document-readers,2025-11-26,2117,./data/https%3A%2F%2Fwww.csulb.edu%2Fdocument-readers.txt
https://www.csulb.edu/university-library,2025-11-26,4503,./data/https%3A%2F%2Fwww.csulb.edu%2Funiversity-library.txt
http://specialevents.csulb.edu/mastercalendar/MasterCalendar.aspx,2025-11-26,994,./data/http%3A%2F%2Fspecialevents.csulb.edu%2Fmastercalendar%2FMasterCalendar.aspx.txt
https://www.csulb.edu/student-affairs/parents-family-orientation,2025-11-26,6105,./data/https%3A%2F%2Fwww.csulb.edu%2Fstudent-affairs%2Fparents-family-orientation.txt
https://www.csulb.edu/presidential-search,2025-11-26,2874,./data/https%3A%2F%2Fwww.csulb.edu%2Fpresidential-search.txt
https://www.csulb.edu/student-records/schedule-of-classes,2025-11-26,8435,./data/https%3A%2F%2Fwww.csulb.edu%2Fstudent-records%2Fschedule-of-classes.txt
https://www.csulb.edu/media,2025-11-26,2568,./data/https%3A%2F%2Fwww.csulb.edu%2Fmedia.txt
https://www.csulb.edu/directory,2025-11-26,1736,./data/https%3A%2F%2Fwww.csulb.edu%2Fdirectory.txt
https://www.csulb.edu/news/making-waves/article/months-achievements-span-innovation-storytelling-and-sustainability,2025-11-26,10133,./data/https%3A%2F%2Fwww.csulb.edu%2Fnews%2Fmaking-waves%2Farticle%2Fmonths-achievements-span-innovation-storytelling-and-sustainability.txt
